Product Name,Product URL,Product Price,Rating,Review Count,Description,ASIN,Product Description,Manufacturer
"Amazon Basics- Laptop Messenger Bag for 13.3-Inch, 14-Inch, 15.6 -Inch Laptop Bag for Men and Women",https://www.amazon.in/Amazon-Basics-Messenger-13-3-Inch-14-Inch/dp/B09WMQ4Y7H,₹599,3.6,56,N/A,N/A,N/A,N/A
"Seute Verdiater Backpack with USB Charging Port, 30L Laptop Bag with Shoe Compartments, Business Travel Backpack with 15.6 inch Laptop Pocket for Men, Women, College & Office (Grey & Black)",https://www.amazon.in/Seute-Verdiater-Laptop-Backpack-Multipurpose/dp/B07D9D5284,"₹3,199",4.5,892,N/A,N/A,N/A,N/A
"TRUE HUMAN® Emperor Anti-Theft backpack with combination lock Laptop bag,office bag for Men and Women | College Bags for Girls & Boys (Zyden)",https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-combination/dp/B09VCHV6T5,₹675,3.7,"1,152","» Superior & Durability: Made of durable and Eco-friendly water resistant oxford textile fabric,which keeps your files and stuffs dry inside. This backpack can hold up to 15.6"" laptop from most brands, but it may not be suitable for all brand 15.6"". Since there maybe exist slight size difference among different laptop brands.      » PREMIUM MATERIAL: Made from high quality, waterproof Polyester material in grey color. Premium quality smooth zippers, pullers, buckles.",N/A,N/A,Visit the TRUE HUMAN Store
Aristocrat Unisex Black Premium Poleyester Fabric 26L Laptop Bags,https://www.amazon.in/Aristocrat-Unisex-Premium-Poleyester-Fabric/dp/B09ZV9MSFQ,₹669,3.8,64,N/A,N/A,N/A,N/A
"Genie Drama Queen Laptop Backpack for Women, 3 compartments, Stylish and Trendy College Bags for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose. 36 litres",https://www.amazon.in/Genie-compartments-Resistant-Lightweight-Travelling/dp/B097JJYXXT,"₹1,299",4.0,4,N/A,N/A,N/A,N/A
Skybags Unisex Red Gucci Fabric 17L Backpacks,https://www.amazon.in/Skybags-Unisex-Gucci-Fabric-Backpacks/dp/B0B21XTWRL,₹579,3.6,92,N/A,N/A,N/A,N/A
HAMMONDS FLYCATCHER Laptop Bag for Men - Genuine Leather Messenger Shoulder Bag - Fits 14/15.6/16 Inch Laptops - Brown Office Bag - Multiple Pockets -Water Resistant -Executive Bag for Work and Travel,https://www.amazon.in/Hammonds-Flycatcher-Leather-Messenger-LB190BRN/dp/B083M1QK32,"₹5,255",4.4,566,N/A,N/A,N/A,N/A
American Tourister BOUNCE CASUAL BACKPACK 28L POLYESTER RED,https://www.amazon.in/American-Tourister-BOUNCE-BACKPACK-POLYESTER/dp/B0BLC9MQHW,"₹1,099",4.0,32,N/A,N/A,N/A,N/A
"Amazon Basics Laptop Backpack - 24L, Water Repellent and Wear Resistant, Melange Slub Grey",https://www.amazon.in/Amazon-Basics-Laptop-Backpack-Repellent/dp/B09W39H3F9,₹649,4.1,128,N/A,N/A,N/A,N/A
"Wooum Polyester 23 cms Gym Bag Sport Outdoor Bag, Shoulder Bag Side Bag with Separate Shoes Compartment Water Resistance - Dark Grey",https://www.amazon.in/Resistant-Duffle-Shoulder-Separate-Compartment/dp/B09KVBSG61,₹418,4.2,511,N/A,N/A,N/A,N/A
